startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",7.15,4.83,10.26,1.41,120.00,0.44,0.11,0,159.55,58.00,120.00,4.68,0.70,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",6.95,3.42,11.31,2.91,120.00,0.54,0.16,0,159.97,79.75,120.00,4.76,0.82,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",6.38,3.63,8.72,1.55,120.00,0.38,0.11,0,153.39,75.16,120.00,4.74,0.79,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",6.07,3.59,8.91,1.45,120.00,0.38,0.11,0,158.29,85.51,120.00,4.78,0.84,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",5.40,2.96,9.16,2.42,120.00,0.43,0.14,0,156.33,54.57,120.00,4.67,0.67,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",5.18,2.89,7.78,1.20,120.00,0.32,0.10,0,159.60,71.30,120.00,4.73,0.77,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",6.62,4.09,10.85,2.03,120.00,0.49,0.13,0,162.44,76.80,120.00,4.75,0.80,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",6.26,2.93,9.69,1.77,120.00,0.43,0.12,0,162.11,90.07,120.00,4.80,0.87,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",6.69,3.33,9.46,1.68,120.00,0.42,0.12,0,163.04,74.31,120.00,4.74,0.79,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",6.80,4.03,10.58,1.65,120.00,0.47,0.12,0,165.80,77.64,120.00,4.75,0.80,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",6.21,3.71,9.70,1.63,120.00,0.42,0.12,0,160.78,109.33,120.00,4.86,0.95,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",6.40,3.42,9.23,1.78,120.00,0.41,0.12,0,163.89,63.05,120.00,4.70,0.72,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",6.37,3.44,9.02,1.71,120.00,0.40,0.12,0,160.50,59.86,120.00,4.69,0.71,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",5.82,3.32,10.18,2.19,120.00,0.47,0.14,0,163.26,67.62,120.00,4.72,0.75,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",6.59,3.81,8.78,1.19,120.00,0.36,0.10,0,163.56,65.38,120.00,4.71,0.74,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",5.50,2.59,9.20,2.60,117.00,0.44,0.15,0,156.30,95.54,117.00,4.82,0.90,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",4.84,2.69,7.36,1.04,120.00,0.29,0.09,0,155.45,86.06,120.00,4.78,0.85,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",5.78,2.85,9.43,1.76,120.00,0.42,0.12,0,163.02,84.03,120.00,4.78,0.84,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",5.27,3.01,7.55,1.16,120.00,0.31,0.10,0,164.21,71.10,120.00,4.73,0.77,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",5.52,3.11,8.97,0.93,120.00,0.36,0.09,0,168.56,75.15,120.00,4.74,0.79,0
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",5.93,3.11,9.57,2.16,120.00,0.44,0.13,0,170.68,65.48,120.00,4.71,0.74,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",5.19,2.61,8.02,1.10,120.00,0.33,0.10,0,170.10,108.38,120.00,4.86,0.95,0
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",5.30,2.21,8.80,1.32,120.00,0.37,0.10,0,169.99,88.99,120.00,4.79,0.86,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",5.84,1.86,10.47,3.32,120.00,0.52,0.17,0,169.61,95.02,120.00,4.81,0.89,0
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",6.28,3.21,9.37,1.65,120.00,0.41,0.12,0,166.26,73.40,120.00,4.74,0.78,0
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",5.57,3.05,8.26,1.31,120.00,0.35,0.10,0,167.88,66.81,120.00,4.71,0.75,0
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",6.25,3.73,9.55,1.65,120.00,0.42,0.12,0,167.64,46.79,120.00,4.64,0.62,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",5.25,2.57,8.23,1.43,120.00,0.35,0.11,0,166.79,91.59,120.00,4.80,0.87,0
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",5.37,2.75,9.33,1.74,120.00,0.41,0.12,0,167.52,89.04,120.00,4.79,0.86,0
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",5.53,2.57,9.15,1.72,120.00,0.40,0.12,0,165.04,105.54,120.00,4.85,0.94,0
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",5.73,3.39,8.32,1.12,120.00,0.34,0.10,0,165.63,89.09,120.00,4.79,0.86,0
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",5.88,3.88,8.78,1.42,120.00,0.37,0.11,0,161.37,60.37,120.00,4.69,0.71,0
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",4.85,2.39,7.96,1.27,120.00,0.33,0.10,0,160.58,59.67,120.00,4.69,0.71,0
"2020-06-01T01:06:00Z","2020-06-01T01:08:00Z",5.69,3.00,8.10,1.34,120.00,0.34,0.11,0,159.47,90.39,120.00,4.80,0.87,0
"2020-06-01T01:08:00Z","2020-06-01T01:10:00Z",5.98,2.46,8.91,1.60,120.00,0.39,0.12,0,158.96,76.32,120.00,4.75,0.80,0
"2020-06-01T01:10:00Z","2020-06-01T01:12:00Z",6.12,3.51,8.99,1.46,120.00,0.39,0.11,0,158.30,63.25,120.00,4.70,0.73,0
"2020-06-01T01:12:00Z","2020-06-01T01:14:00Z",5.40,2.63,8.15,1.32,120.00,0.34,0.10,0,153.43,65.43,120.00,4.71,0.74,0
"2020-06-01T01:14:00Z","2020-06-01T01:16:00Z",6.25,3.28,10.84,2.18,120.00,0.50,0.13,0,154.95,62.43,120.00,4.70,0.72,0
"2020-06-01T01:16:00Z","2020-06-01T01:18:00Z",6.38,3.47,9.48,1.46,120.00,0.41,0.11,0,152.27,65.38,120.00,4.71,0.74,0
"2020-06-01T01:18:00Z","2020-06-01T01:20:00Z",5.83,3.39,9.03,1.68,120.00,0.40,0.12,0,152.49,35.70,120.00,4.60,0.55,0
"2020-06-01T01:20:00Z","2020-06-01T01:22:00Z",5.51,2.57,8.13,1.24,120.00,0.34,0.10,0,155.60,48.06,120.00,4.65,0.63,0
"2020-06-01T01:22:00Z","2020-06-01T01:24:00Z",5.84,3.69,8.07,1.19,120.00,0.33,0.10,0,157.71,45.33,120.00,4.64,0.61,0
"2020-06-01T01:24:00Z","2020-06-01T01:26:00Z",5.34,2.72,7.61,1.08,120.00,0.31,0.09,0,157.66,55.33,120.00,4.67,0.68,0
"2020-06-01T01:26:00Z","2020-06-01T01:28:00Z",5.22,3.08,7.68,1.00,120.00,0.31,0.09,0,157.05,48.40,120.00,4.65,0.64,0
"2020-06-01T01:28:00Z","2020-06-01T01:30:00Z",4.81,2.67,7.38,0.80,120.00,0.28,0.08,0,158.72,71.50,120.00,4.73,0.77,0
"2020-06-01T01:30:00Z","2020-06-01T01:32:00Z",6.11,3.24,10.31,1.84,120.00,0.46,0.12,0,155.32,36.05,120.00,4.60,0.55,0
"2020-06-01T01:32:00Z","2020-06-01T01:34:00Z",5.37,2.69,8.26,1.77,120.00,0.37,0.12,0,157.85,51.34,120.00,4.66,0.65,0
"2020-06-01T01:34:00Z","2020-06-01T01:36:00Z",4.99,2.59,7.11,1.22,120.00,0.29,0.10,0,156.95,47.63,120.00,4.65,0.63,0
"2020-06-01T01:36:00Z","2020-06-01T01:38:00Z",4.95,2.78,7.45,1.19,120.00,0.31,0.10,0,157.52,54.95,120.00,4.67,0.68,0
"2020-06-01T01:38:00Z","2020-06-01T01:40:00Z",4.58,2.38,7.36,1.38,120.00,0.31,0.11,0,160.99,56.13,120.00,4.68,0.68,0
"2020-06-01T01:40:00Z","2020-06-01T01:42:00Z",4.29,1.76,6.72,0.81,120.00,0.25,0.08,0,161.35,60.70,120.00,4.69,0.71,0
"2020-06-01T01:42:00Z","2020-06-01T01:44:00Z",4.37,2.44,6.43,0.65,120.00,0.23,0.07,0,161.15,76.01,120.00,4.75,0.80,0
"2020-06-01T01:44:00Z","2020-06-01T01:46:00Z",5.01,2.54,8.28,1.40,120.00,0.35,0.11,0,160.93,66.00,120.00,4.71,0.74,0
"2020-06-01T01:46:00Z","2020-06-01T01:48:00Z",4.66,3.05,7.00,0.61,120.00,0.25,0.07,0,163.21,65.04,120.00,4.71,0.74,0
"2020-06-01T01:48:00Z","2020-06-01T01:50:00Z",4.08,1.83,6.36,0.91,120.00,0.25,0.09,0,163.96,75.38,120.00,4.74,0.79,0
"2020-06-01T01:50:00Z","2020-06-01T01:52:00Z",4.14,2.10,6.65,0.87,120.00,0.25,0.09,0,162.65,110.54,120.00,4.87,0.96,0
"2020-06-01T01:52:00Z","2020-06-01T01:54:00Z",4.61,2.67,7.08,0.91,120.00,0.27,0.09,0,162.84,71.86,120.00,4.73,0.77,0
"2020-06-01T01:54:00Z","2020-06-01T01:56:00Z",4.55,2.23,7.22,0.93,120.00,0.28,0.09,0,163.18,58.16,120.00,4.68,0.70,0
"2020-06-01T01:56:00Z","2020-06-01T01:58:00Z",4.40,1.85,7.46,1.35,120.00,0.32,0.11,0,166.27,69.92,120.00,4.73,0.76,0
"2020-06-01T01:58:00Z","2020-06-01T02:00:00Z",4.37,2.39,7.48,0.99,120.00,0.30,0.09,0,165.66,76.05,120.00,4.75,0.80,0
"2020-06-01T02:00:00Z","2020-06-01T02:02:00Z",4.67,2.64,7.66,1.05,120.00,0.31,0.09,0,167.36,81.46,120.00,4.77,0.82,0
"2020-06-01T02:02:00Z","2020-06-01T02:04:00Z",5.61,2.88,7.91,1.45,120.00,0.34,0.11,0,169.65,59.24,120.00,4.69,0.70,0
"2020-06-01T02:04:00Z","2020-06-01T02:06:00Z",4.88,1.82,7.30,1.47,120.00,0.32,0.11,0,169.18,54.55,120.00,4.67,0.67,0
"2020-06-01T02:06:00Z","2020-06-01T02:08:00Z",4.19,1.21,6.64,1.04,120.00,0.27,0.09,0,169.09,99.17,120.00,4.83,0.91,0
"2020-06-01T02:08:00Z","2020-06-01T02:10:00Z",4.09,2.29,6.11,0.87,120.00,0.23,0.09,0,170.76,83.58,120.00,4.77,0.83,0
"2020-06-01T02:10:00Z","2020-06-01T02:12:00Z",4.99,2.83,6.98,0.87,120.00,0.27,0.09,0,170.56,70.91,120.00,4.73,0.77,0
"2020-06-01T02:12:00Z","2020-06-01T02:14:00Z",4.19,2.15,6.69,0.58,120.00,0.24,0.07,0,169.43,72.48,120.00,4.73,0.78,0
"2020-06-01T02:14:00Z","2020-06-01T02:16:00Z",3.97,1.94,5.70,0.55,120.00,0.19,0.07,0,168.43,99.17,120.00,4.83,0.91,0
"2020-06-01T02:16:00Z","2020-06-01T02:18:00Z",4.05,2.46,5.85,0.45,120.00,0.19,0.06,0,166.52,78.05,120.00,4.75,0.81,0
"2020-06-01T02:18:00Z","2020-06-01T02:20:00Z",3.74,2.45,5.59,0.43,120.00,0.18,0.06,0,163.53,56.10,120.00,4.68,0.68,0
"2020-06-01T02:20:00Z","2020-06-01T02:22:00Z",3.56,2.18,6.12,0.68,120.00,0.22,0.08,0,161.71,71.21,120.00,4.73,0.77,0
"2020-06-01T02:22:00Z","2020-06-01T02:24:00Z",3.70,1.63,5.87,0.57,120.00,0.20,0.07,0,160.35,54.85,120.00,4.67,0.68,0
"2020-06-01T02:24:00Z","2020-06-01T02:26:00Z",3.47,2.16,4.79,0.39,120.00,0.15,0.06,0,157.63,76.28,120.00,4.75,0.80,0
"2020-06-01T02:26:00Z","2020-06-01T02:28:00Z",3.66,1.82,5.89,0.62,120.00,0.21,0.07,0,158.86,65.03,120.00,4.71,0.74,0
"2020-06-01T02:28:00Z","2020-06-01T02:30:00Z",3.68,2.00,5.93,0.69,120.00,0.21,0.08,0,159.04,66.05,120.00,4.71,0.74,0
"2020-06-01T02:30:00Z","2020-06-01T02:32:00Z",3.93,2.27,5.87,0.79,120.00,0.22,0.08,0,157.28,86.23,120.00,4.78,0.85,0
"2020-06-01T02:32:00Z","2020-06-01T02:34:00Z",4.34,1.84,6.08,0.70,120.00,0.22,0.08,0,160.72,47.05,120.00,4.64,0.63,0
"2020-06-01T02:34:00Z","2020-06-01T02:36:00Z",4.14,2.81,5.64,0.38,120.00,0.18,0.06,0,158.95,53.18,120.00,4.67,0.67,0
"2020-06-01T02:36:00Z","2020-06-01T02:38:00Z",4.44,2.39,6.48,0.92,120.00,0.25,0.09,0,161.84,80.18,120.00,4.76,0.82,0
"2020-06-01T02:38:00Z","2020-06-01T02:40:00Z",4.57,3.02,7.76,1.16,120.00,0.32,0.10,0,162.26,56.49,120.00,4.68,0.69,0
"2020-06-01T02:40:00Z","2020-06-01T02:42:00Z",4.74,2.67,7.08,0.81,120.00,0.27,0.08,0,158.49,54.19,120.00,4.67,0.67,0
"2020-06-01T02:42:00Z","2020-06-01T02:44:00Z",3.65,2.20,5.26,0.42,120.00,0.16,0.06,0,151.03,59.41,120.00,4.69,0.70,0
"2020-06-01T02:44:00Z","2020-06-01T02:46:00Z",2.87,1.47,4.65,0.46,120.00,0.16,0.06,0,142.84,72.90,120.00,4.74,0.78,0
"2020-06-01T02:46:00Z","2020-06-01T02:48:00Z",4.03,2.18,5.85,0.72,120.00,0.21,0.08,0,148.22,60.56,120.00,4.69,0.71,0
"2020-06-01T02:48:00Z","2020-06-01T02:50:00Z",3.77,1.98,5.89,0.77,120.00,0.22,0.08,0,149.34,110.52,120.00,4.87,0.96,0
"2020-06-01T02:50:00Z","2020-06-01T02:52:00Z",3.82,2.09,6.17,0.80,120.00,0.23,0.08,0,146.08,63.35,120.00,4.70,0.73,0
"2020-06-01T02:52:00Z","2020-06-01T02:54:00Z",4.25,2.54,6.50,0.72,120.00,0.24,0.08,0,145.60,46.40,120.00,4.64,0.62,0
"2020-06-01T02:54:00Z","2020-06-01T02:56:00Z",3.94,2.50,6.47,0.81,120.00,0.24,0.08,0,148.07,52.36,120.00,4.66,0.66,0
"2020-06-01T02:56:00Z","2020-06-01T02:58:00Z",4.09,2.22,6.08,0.82,120.00,0.23,0.08,0,147.91,74.23,120.00,4.74,0.79,0
"2020-06-01T02:58:00Z","2020-06-01T03:00:00Z",4.22,1.88,6.72,0.78,120.00,0.25,0.08,0,148.74,68.77,120.00,4.72,0.76,0
"2020-06-01T03:00:00Z","2020-06-01T03:02:00Z",4.51,2.73,6.89,0.69,120.00,0.25,0.08,0,146.96,44.61,120.00,4.64,0.61,0
"2020-06-01T03:02:00Z","2020-06-01T03:04:00Z",4.65,2.19,6.74,0.84,120.00,0.26,0.08,0,149.08,43.77,120.00,4.63,0.60,0
"2020-06-01T03:04:00Z","2020-06-01T03:06:00Z",4.84,2.74,6.90,1.09,120.00,0.28,0.10,0,151.12,55.12,120.00,4.67,0.68,0
"2020-06-01T03:06:00Z","2020-06-01T03:08:00Z",4.45,2.33,6.76,0.85,120.00,0.26,0.08,0,151.60,72.07,120.00,4.73,0.77,0
"2020-06-01T03:08:00Z","2020-06-01T03:10:00Z",4.48,2.15,6.99,1.19,120.00,0.29,0.10,0,154.33,63.29,120.00,4.70,0.73,0
"2020-06-01T03:10:00Z","2020-06-01T03:12:00Z",4.46,2.64,6.83,0.91,120.00,0.26,0.09,0,152.21,51.52,120.00,4.66,0.66,0
"2020-06-01T03:12:00Z","2020-06-01T03:14:00Z",5.06,2.85,8.63,1.28,120.00,0.36,0.10,0,153.03,65.63,120.00,4.71,0.74,0
"2020-06-01T03:14:00Z","2020-06-01T03:16:00Z",4.31,2.19,7.38,1.20,120.00,0.30,0.10,0,151.00,48.78,120.00,4.65,0.64,0
"2020-06-01T03:16:00Z","2020-06-01T03:18:00Z",4.57,2.48,7.10,1.00,120.00,0.28,0.09,0,153.79,53.79,120.00,4.67,0.67,0
"2020-06-01T03:18:00Z","2020-06-01T03:20:00Z",4.49,1.70,6.57,1.16,120.00,0.27,0.10,0,154.12,56.54,120.00,4.68,0.69,0
"2020-06-01T03:20:00Z","2020-06-01T03:22:00Z",4.69,2.62,6.97,0.69,120.00,0.26,0.08,0,154.33,53.10,120.00,4.67,0.67,0
"2020-06-01T03:22:00Z","2020-06-01T03:24:00Z",4.16,2.31,6.01,0.83,120.00,0.23,0.08,0,153.37,73.75,120.00,4.74,0.78,0
"2020-06-01T03:24:00Z","2020-06-01T03:26:00Z",4.14,2.20,6.33,0.74,120.00,0.23,0.08,0,154.30,90.02,120.00,4.80,0.87,0
"2020-06-01T03:26:00Z","2020-06-01T03:28:00Z",4.05,1.83,6.78,0.85,120.00,0.26,0.08,0,152.31,63.20,120.00,4.70,0.73,0
"2020-06-01T03:28:00Z","2020-06-01T03:30:00Z",4.71,2.50,7.18,1.28,120.00,0.30,0.10,0,156.46,67.53,120.00,4.72,0.75,0
"2020-06-01T03:30:00Z","2020-06-01T03:32:00Z",4.49,2.64,6.16,0.67,120.00,0.22,0.07,0,154.78,75.82,120.00,4.75,0.79,0
"2020-06-01T03:32:00Z","2020-06-01T03:34:00Z",4.42,2.39,6.86,0.87,120.00,0.26,0.09,0,155.99,45.37,120.00,4.64,0.61,0
"2020-06-01T03:34:00Z","2020-06-01T03:36:00Z",4.54,2.03,7.88,1.38,120.00,0.33,0.11,0,158.77,84.51,120.00,4.78,0.84,0
"2020-06-01T03:36:00Z","2020-06-01T03:38:00Z",4.72,2.42,6.71,1.11,120.00,0.27,0.10,0,158.42,53.70,120.00,4.67,0.67,0
"2020-06-01T03:38:00Z","2020-06-01T03:40:00Z",4.97,2.17,8.21,1.48,120.00,0.35,0.11,0,156.00,45.94,120.00,4.64,0.62,0
"2020-06-01T03:40:00Z","2020-06-01T03:42:00Z",4.59,2.29,8.07,1.22,120.00,0.33,0.10,0,155.83,76.88,120.00,4.75,0.80,0
"2020-06-01T03:42:00Z","2020-06-01T03:44:00Z",5.09,2.56,8.07,1.11,120.00,0.33,0.10,0,156.91,50.19,120.00,4.66,0.65,0
"2020-06-01T03:44:00Z","2020-06-01T03:46:00Z",4.53,2.75,6.97,0.96,120.00,0.27,0.09,0,159.64,70.50,120.00,4.73,0.77,0
"2020-06-01T03:46:00Z","2020-06-01T03:48:00Z",4.79,2.72,7.55,1.18,120.00,0.31,0.10,0,160.51,65.89,120.00,4.71,0.74,0
"2020-06-01T03:48:00Z","2020-06-01T03:50:00Z",4.31,2.24,6.31,0.60,120.00,0.22,0.07,0,161.98,61.77,120.00,4.70,0.72,0
"2020-06-01T03:50:00Z","2020-06-01T03:52:00Z",4.50,2.28,6.72,0.98,120.00,0.26,0.09,0,162.35,64.40,120.00,4.71,0.73,0
"2020-06-01T03:52:00Z","2020-06-01T03:54:00Z",4.70,3.03,7.15,0.83,120.00,0.27,0.08,0,162.29,52.15,120.00,4.66,0.66,0
"2020-06-01T03:54:00Z","2020-06-01T03:56:00Z",5.14,2.98,8.24,1.25,120.00,0.34,0.10,0,161.81,74.01,120.00,4.74,0.79,0
"2020-06-01T03:56:00Z","2020-06-01T03:58:00Z",5.20,3.16,7.52,1.02,120.00,0.30,0.09,0,162.56,112.32,120.00,4.87,0.97,0
"2020-06-01T03:58:00Z","2020-06-01T04:00:00Z",5.25,2.77,8.04,1.28,120.00,0.34,0.10,0,159.96,55.39,120.00,4.67,0.68,0
"2020-06-01T04:00:00Z","2020-06-01T04:02:00Z",4.69,3.00,7.07,0.73,120.00,0.26,0.08,0,158.86,47.31,120.00,4.65,0.63,0
"2020-06-01T04:02:00Z","2020-06-01T04:04:00Z",4.45,2.90,6.46,0.72,120.00,0.24,0.08,0,156.88,68.91,120.00,4.72,0.76,0
"2020-06-01T04:04:00Z","2020-06-01T04:06:00Z",4.92,2.73,7.68,1.43,120.00,0.33,0.11,0,156.23,67.14,120.00,4.72,0.75,0
"2020-06-01T04:06:00Z","2020-06-01T04:08:00Z",5.30,2.69,8.30,1.47,120.00,0.36,0.11,0,154.68,61.54,120.00,4.70,0.72,0
"2020-06-01T04:08:00Z","2020-06-01T04:10:00Z",5.04,2.53,7.50,1.01,120.00,0.30,0.09,0,152.33,77.71,120.00,4.75,0.80,0
"2020-06-01T04:10:00Z","2020-06-01T04:12:00Z",4.62,2.07,6.94,1.00,120.00,0.27,0.09,0,151.78,41.79,120.00,4.63,0.59,0
"2020-06-01T04:12:00Z","2020-06-01T04:14:00Z",5.00,2.67,7.77,1.09,120.00,0.31,0.10,0,148.58,29.84,120.00,4.58,0.50,0
"2020-06-01T04:14:00Z","2020-06-01T04:16:00Z",5.44,2.92,8.49,1.51,120.00,0.37,0.11,0,150.21,53.37,120.00,4.67,0.67,0
"2020-06-01T04:16:00Z","2020-06-01T04:18:00Z",5.04,2.64,9.39,1.39,120.00,0.40,0.11,0,151.46,61.70,120.00,4.70,0.72,0
"2020-06-01T04:18:00Z","2020-06-01T04:20:00Z",5.09,2.53,7.23,1.03,120.00,0.29,0.09,0,152.68,52.09,120.00,4.66,0.66,0
"2020-06-01T04:20:00Z","2020-06-01T04:22:00Z",4.82,1.72,7.70,1.24,120.00,0.32,0.10,0,154.69,56.84,120.00,4.68,0.69,0
"2020-06-01T04:22:00Z","2020-06-01T04:24:00Z",4.90,2.09,7.40,1.12,120.00,0.30,0.10,0,156.70,59.50,120.00,4.69,0.70,0
"2020-06-01T04:24:00Z","2020-06-01T04:26:00Z",4.42,1.87,7.12,1.10,116.00,0.29,0.10,0,160.55,58.64,116.00,4.69,0.71,0
"2020-06-01T04:26:00Z","2020-06-01T04:28:00Z",4.50,2.66,6.20,0.61,120.00,0.22,0.07,0,161.11,58.21,120.00,4.68,0.70,0
"2020-06-01T04:28:00Z","2020-06-01T04:30:00Z",5.49,3.37,7.88,1.05,120.00,0.32,0.09,0,160.27,48.99,120.00,4.65,0.64,0
"2020-06-01T04:30:00Z","2020-06-01T04:32:00Z",5.37,3.23,7.66,0.83,120.00,0.30,0.08,0,159.32,59.98,120.00,4.69,0.71,0
"2020-06-01T04:32:00Z","2020-06-01T04:34:00Z",4.71,1.76,6.95,0.90,120.00,0.27,0.09,0,158.12,59.34,120.00,4.69,0.70,0
"2020-06-01T04:34:00Z","2020-06-01T04:36:00Z",4.63,2.33,7.03,0.89,120.00,0.27,0.09,0,152.61,45.68,120.00,4.64,0.62,0
"2020-06-01T04:36:00Z","2020-06-01T04:38:00Z",4.48,1.74,6.67,0.74,120.00,0.25,0.08,0,154.13,52.59,120.00,4.66,0.66,0
"2020-06-01T04:38:00Z","2020-06-01T04:40:00Z",4.83,2.99,8.47,1.02,120.00,0.34,0.09,0,156.37,64.30,120.00,4.71,0.73,0
"2020-06-01T04:40:00Z","2020-06-01T04:42:00Z",4.66,2.94,7.18,0.88,120.00,0.28,0.09,0,153.70,48.36,120.00,4.65,0.63,0
"2020-06-01T04:42:00Z","2020-06-01T04:44:00Z",4.90,2.77,7.36,0.94,120.00,0.29,0.09,0,154.56,57.56,120.00,4.68,0.69,0
"2020-06-01T04:44:00Z","2020-06-01T04:46:00Z",4.61,2.28,6.87,1.04,120.00,0.27,0.09,0,156.06,79.48,120.00,4.76,0.81,0
"2020-06-01T04:46:00Z","2020-06-01T04:48:00Z",4.28,1.81,6.90,1.13,120.00,0.28,0.10,0,158.88,82.94,120.00,4.77,0.83,0
"2020-06-01T04:48:00Z","2020-06-01T04:50:00Z",4.88,2.64,6.95,0.88,120.00,0.27,0.09,0,159.64,64.16,120.00,4.71,0.73,0
"2020-06-01T04:50:00Z","2020-06-01T04:52:00Z",4.44,2.74,7.49,1.08,120.00,0.30,0.09,0,163.89,71.16,120.00,4.73,0.77,0
"2020-06-01T04:52:00Z","2020-06-01T04:54:00Z",4.48,3.03,7.68,0.73,120.00,0.29,0.08,0,164.10,63.61,120.00,4.70,0.73,0
"2020-06-01T04:54:00Z","2020-06-01T04:56:00Z",3.76,1.75,6.47,0.83,120.00,0.25,0.08,0,164.96,85.37,120.00,4.78,0.84,0
"2020-06-01T04:56:00Z","2020-06-01T04:58:00Z",4.17,2.52,6.23,0.67,120.00,0.22,0.07,0,168.91,86.38,120.00,4.78,0.85,0
"2020-06-01T04:58:00Z","2020-06-01T05:00:00Z",4.47,2.16,6.69,0.91,120.00,0.26,0.09,0,168.71,80.91,120.00,4.76,0.82,0
"2020-06-01T05:00:00Z","2020-06-01T05:02:00Z",4.31,1.84,6.34,0.89,120.00,0.24,0.09,0,167.20,108.55,120.00,4.86,0.95,0
"2020-06-01T05:02:00Z","2020-06-01T05:04:00Z",4.10,2.62,6.26,0.64,120.00,0.22,0.07,0,167.26,95.53,120.00,4.82,0.89,0
"2020-06-01T05:04:00Z","2020-06-01T05:06:00Z",5.09,2.32,8.08,1.18,120.00,0.33,0.10,0,164.99,72.01,120.00,4.73,0.77,0
"2020-06-01T05:06:00Z","2020-06-01T05:08:00Z",4.58,1.73,7.09,1.15,120.00,0.29,0.10,0,163.71,74.83,120.00,4.74,0.79,0
"2020-06-01T05:08:00Z","2020-06-01T05:10:00Z",3.91,2.11,6.85,0.83,120.00,0.26,0.08,0,165.06,98.23,120.00,4.82,0.90,0
"2020-06-01T05:10:00Z","2020-06-01T05:12:00Z",3.89,1.88,6.27,0.71,120.00,0.23,0.08,0,165.00,69.31,120.00,4.72,0.76,0
"2020-06-01T05:12:00Z","2020-06-01T05:14:00Z",4.76,2.84,7.57,1.24,120.00,0.31,0.10,0,162.53,48.22,120.00,4.65,0.63,0
"2020-06-01T05:14:00Z","2020-06-01T05:16:00Z",4.41,2.36,6.49,0.94,120.00,0.25,0.09,0,168.58,98.38,120.00,4.82,0.91,0
"2020-06-01T05:16:00Z","2020-06-01T05:18:00Z",4.40,2.27,7.02,1.03,120.00,0.28,0.09,0,169.83,78.56,120.00,4.76,0.81,0
"2020-06-01T05:18:00Z","2020-06-01T05:20:00Z",4.28,1.87,6.51,0.88,120.00,0.25,0.09,0,172.11,66.50,120.00,4.71,0.74,0
"2020-06-01T05:20:00Z","2020-06-01T05:22:00Z",4.92,2.29,7.59,1.04,120.00,0.30,0.09,0,172.25,70.19,120.00,4.73,0.76,0
"2020-06-01T05:22:00Z","2020-06-01T05:24:00Z",4.84,2.57,6.94,0.90,120.00,0.27,0.09,0,171.28,64.24,120.00,4.71,0.73,0
"2020-06-01T05:24:00Z","2020-06-01T05:26:00Z",4.41,2.94,7.06,0.55,120.00,0.25,0.07,0,170.17,67.25,120.00,4.72,0.75,0
"2020-06-01T05:26:00Z","2020-06-01T05:28:00Z",4.59,2.16,7.67,1.10,120.00,0.31,0.10,0,170.79,94.69,120.00,4.81,0.89,0
"2020-06-01T05:28:00Z","2020-06-01T05:30:00Z",4.73,2.74,6.55,0.69,120.00,0.24,0.08,0,172.03,68.24,120.00,4.72,0.75,0
"2020-06-01T05:30:00Z","2020-06-01T05:32:00Z",4.87,2.92,7.62,0.79,120.00,0.29,0.08,0,175.86,51.42,120.00,4.66,0.65,0
